,Model Name,Dataset,Subset ID,Is Filtered,Sensitive Feature,ndcg@5,recall@5,mrr@5,Differential Fairness of sensitive attribute,giniindex@5,popularitypercentage@5,Value Unfairness of sensitive attribute,Absolute Unfairness of sensitive attribute,Underestimation Unfairness of sensitive attribute,Overestimation Unfairness of sensitive attribute,NonParity Unfairness of sensitive attribute,Absolute Difference,KS Statistic of sensitive attribute,Generalized Cross Entropy,hit@5,Number of Users,Number of Items,Number of Ratings,Space Size,Shape,Density,Rating per User,Rating per Item,Gini Item,Gini User,Average Popularity,Standart Deviation of Popularity Bias,Skewness of Popularity Bias,Kurtosis of Popularity Bias,Average Long Tail Items,Standart Deviation of Long Tail Items,Skewness of Long Tail Items,Kurtosis of Long Tail Items,Mean Rating,Standart Deviation of Rating,Skewness of Rating,Kurtosis of Rating,Sensitive Attribute == 0 Percentage,Sensitive Attribute == 1 Percentage,Difference between Sensitive Attribute Percentage
0,FOCF,BX,1,Yes,Age,0.189,0.258,0.182,2.115,0.941,0.938,0.379,0.367,0.371,0.008,0.004,0.004,0.109,-0.066,0.297,5426,3142,69131,17048492,1.727,0.004,12.741,22.002,0.426,0.631,0.013,0.013,4.652,35.364,0.315,0.202,1.576,2.843,1.992,1.529,1.035,-0.689,39.46,60.54,21.08
1,FOCF,BX,2,Yes,Age,0.192,0.264,0.186,3.482,0.948,0.969,0.391,0.34,0.342,0.049,0.021,0.021,0.097,-0.066,0.315,3833,4114,61846,15768962,0.932,0.004,16.135,15.033,0.457,0.618,0.011,0.007,1.734,6.089,0.28,0.175,1.878,4.524,2.005,1.534,1.013,-0.737,39.79,60.21,20.42
2,FOCF,BX,3,Yes,Age,0.209,0.284,0.199,3.293,0.942,0.941,0.405,0.375,0.368,0.036,0.005,0.005,0.07,-0.049,0.326,2490,3455,36718,8602950,0.721,0.004,14.746,10.627,0.456,0.636,0.015,0.012,2.648,12.648,0.297,0.191,1.791,3.828,2.029,1.547,0.98,-0.806,39.16,60.84,21.68
3,FOCF,BX,4,Yes,Age,0.199,0.266,0.195,2.533,0.948,0.975,0.365,0.34,0.348,0.018,0.006,0.006,0.089,-0.056,0.314,5839,3498,84351,20424822,1.669,0.004,14.446,24.114,0.436,0.63,0.015,0.013,2.9,14.449,0.301,0.194,1.673,3.245,1.997,1.531,1.027,-0.708,39.48,60.52,21.04
4,FOCF,BX,5,Yes,Age,0.19,0.249,0.197,2.733,0.955,0.989,0.377,0.359,0.363,0.014,0.004,0.004,0.065,-0.059,0.321,5510,5813,132722,32029630,0.948,0.004,24.087,22.832,0.446,0.626,0.012,0.007,2.173,13.278,0.251,0.146,1.736,4.651,2.013,1.539,1.001,-0.763,39.11,60.89,21.78
5,FOCF,BX,6,Yes,Age,0.037,0.058,0.035,0.548,0.688,0.178,0.35820588235294126,0.31852941176470584,0.3101470588235294,0.0,0.0,0.0,0.063,-0.048,0.07,230,1513,2847,347990,0.152,0.008,12.378,1.882,0.347,0.572,0.014,0.007,1.484,3.467,0.296,0.169,1.251,2.567,1.942,1.506,1.117,-0.506,38.26,61.74,23.48
6,FOCF,BX,7,Yes,Age,0.191,0.275,0.174,2.382,0.941,0.965,0.35,0.325,0.332,0.019,0.012,0.012,0.13,-0.076,0.31,5559,2722,63151,15131598,2.042,0.004,11.36,23.2,0.444,0.625,0.011,0.007,1.896,6.259,0.325,0.216,1.58,2.45,2.009,1.541,1.01,-0.748,39.27,60.73,21.46
7,FOCF,BX,8,Yes,Age,0.194,0.264,0.192,2.749,0.951,0.984,0.394,0.374,0.379,0.015,0.008,0.008,0.124,-0.081,0.325,5332,4507,97542,24031324,1.183,0.004,18.294,21.642,0.446,0.63,0.012,0.008,2.27,11.616,0.268,0.163,1.829,4.808,2.009,1.542,1.01,-0.749,39.55,60.45,20.9
8,FOCF,BX,9,Yes,Age,0.158,0.219,0.157,3.442,0.919,0.822,0.44,0.427,0.405,0.035,0.011,0.011,0.078,-0.08,0.284,1107,5456,24976,6039792,0.203,0.004,22.562,4.578,0.463,0.624,0.012,0.007,2.346,10.47,0.259,0.148,1.459,3.307,1.987,1.529,1.042,-0.679,40.2,59.8,19.6
9,FOCF,BX,10,Yes,Age,0.043,0.057,0.042,0.575,0.724,0.19,0.35820588235294126,0.31852941176470584,0.3101470588235294,0.0,0.0,0.0,0.049,-0.112,0.07,274,2623,4958,718702,0.104,0.007,18.095,1.89,0.359,0.604,0.014,0.006,1.144,1.816,0.27,0.166,1.939,5.977,2.031,1.548,0.972,-0.825,39.05,60.95,21.9
10,FOCF,BX,11,Yes,Age,0.181,0.238,0.188,2.709,0.954,0.982,0.385,0.372,0.374,0.011,0.006,0.006,0.102,-0.08,0.314,5149,5914,121215,30451186,0.871,0.004,23.541,20.496,0.44,0.627,0.011,0.006,1.403,3.73,0.252,0.147,1.701,4.35,1.99,1.528,1.035,-0.691,39.77,60.23,20.46
